observed_date,region,latitude,longitude,location,carrington_longitude,old_carrington_longitude,area,spot_class,extent,number_spots,mag_class,mag_string,status,c_xray_events,m_xray_events,x_xray_events,proton_events,s_flares,impulse_flares_1,impulse_flares_2,impulse_flares_3,impulse_flares_4,protons,c_flare_probability,m_flare_probability,x_flare_probability,proton_probability,first_date,record_Id,record_Id_0
2023-09-01,3418,22,37,N22E37,346,346,20,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-08-30T16:40:19,37,0
2023-08-31,3412,30,-92,N30W92,128,127,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-18T17:47:24,38,0
2023-08-31,3413,9,-62,N09W62,98,97,280,Dkc,5,12,B,,f,3,0,0,,0,0,0,0,0,0,65,20,5,1,2023-08-21T09:24:33,39,0
2023-08-31,3415,-9,-44,S09W44,80,80,200,Dao,5,5,B,,f,0,0,0,,0,0,0,0,0,,25,5,1,1,2023-08-22T19:19:32,40,0
2023-08-31,3416,-19,-11,S19W11,47,42,20,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-25T16:48:41,41,0
2023-08-31,3417,-8,35,S08E35,1,2,120,Cao,8,8,B,,f,0,0,0,,0,0,0,0,0,,20,1,1,1,2023-08-28T15:34:28,42,0
2023-08-31,3418,22,50,N22E50,346,345,30,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-30T16:40:19,43,0
2023-08-30,3412,30,-78,N30W78,127,130,30,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-18T17:47:24,44,0
2023-08-30,3413,9,-48,N09W48,97,98,230,Dao,4,14,B,,f,2,0,0,,1,1,0,0,0,0,25,5,1,1,2023-08-21T09:24:33,45,0
2023-08-30,3414,-10,-93,S10W93,143,142,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-21T17:59:31,46,0
2023-08-30,3415,-9,-31,S09W31,80,80,210,Dao,5,10,B,,f,1,0,0,,1,0,0,0,0,0,25,5,1,1,2023-08-22T19:19:32,47,0
2023-08-30,3416,-18,6,S18E06,42,45,50,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-25T16:48:41,48,0
2023-08-30,3417,-5,46,S05E46,2,4,150,Dao,7,7,B,,f,1,0,0,,1,0,0,0,0,0,25,5,1,1,2023-08-28T15:34:28,49,0
2023-08-30,3418,22,63,N22E63,345,,30,Hsx,10,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-30T16:40:19,50,0
2023-08-29,3412,30,-67,N30W67,130,133,30,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-18T17:47:24,51,0
2023-08-29,3413,9,-36,N09W36,98,101,230,Dao,5,14,B,,f,2,0,0,,1,0,0,0,0,0,30,5,1,1,2023-08-21T09:24:33,52,0
2023-08-29,3414,-10,-79,S10W79,142,141,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-21T17:59:31,53,0
2023-08-29,3415,-10,-19,S10W19,80,83,190,Dao,4,8,BG,,f,0,0,0,,1,0,0,0,0,0,25,5,1,1,2023-08-22T19:19:32,54,0
2023-08-29,3416,-20,18,S20E18,45,48,50,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-25T16:48:41,55,0
2023-08-29,3417,-7,61,S07E61,4,1,140,Cao,6,8,B,,f,2,0,0,,2,0,0,0,0,0,20,1,1,1,2023-08-28T15:34:28,56,0
2023-08-28,3411,14,-98,N14W98,174,173,40,Hsx,2,1,A,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-17T15:49:07,57,0
2023-08-28,3412,31,-57,N31W57,133,136,40,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,0,0,0,2023-08-18T17:47:24,58,0
2023-08-28,3413,10,-25,N10W25,101,102,280,Dki,6,8,BG,,f,0,0,0,,1,0,0,0,0,0,50,10,1,1,2023-08-21T09:24:33,59,0
2023-08-28,3414,-10,-65,S10W65,141,140,,,,,,,,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-21T17:59:31,60,0
2023-08-28,3415,-9,-7,S09W07,83,83,250,Dko,5,5,BD,,f,0,0,0,,1,0,0,0,0,0,50,10,1,1,2023-08-22T19:19:32,61,0
2023-08-28,3416,-19,28,S19E28,48,51,30,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,0,0,0,2023-08-25T16:48:41,62,0
2023-08-28,3417,-8,75,S08E75,1,,50,Dso,10,3,B,,f,1,0,0,,0,0,0,0,0,0,25,5,1,1,2023-08-28T15:34:28,63,0
2023-08-27,3405,10,-102,N10W0*,191,190,60,Hax,2,1,A,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-14T18:42:41,64,0
2023-08-27,3411,14,-84,N14W84,173,173,40,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,0,0,0,2023-08-17T15:49:07,65,0
2023-08-27,3412,31,-47,N31W47,136,137,60,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,0,0,0,2023-08-18T17:47:24,66,0
2023-08-27,3413,10,-13,N10W13,102,101,260,Dki,7,12,B,,f,0,0,0,,0,0,0,0,0,,60,10,0,0,2023-08-21T09:24:33,67,0
2023-08-27,3414,-10,-51,S10W51,140,139,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-21T17:59:31,68,0
2023-08-27,3415,-10,6,S10E06,83,82,200,Dao,4,4,BD,,f,0,0,0,,0,0,0,0,0,,60,10,0,0,2023-08-22T19:19:32,69,0
2023-08-27,3416,-19,38,S19E38,51,50,50,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,0,0,0,2023-08-25T16:48:41,70,0
2023-08-26,3404,-9,-99,S09W99,201,201,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-13T21:58:28,71,0
2023-08-26,3405,10,-88,N10W88,190,191,60,Hax,2,1,A,,f,3,0,0,,1,1,0,0,0,0,20,1,1,1,2023-08-14T18:42:41,72,0
2023-08-26,3411,14,-71,N14W71,173,172,40,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-08-17T15:49:07,73,0
2023-08-26,3412,31,-35,N31W35,137,135,60,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-08-18T17:47:24,74,0
2023-08-26,3413,12,1,N12E01,101,100,250,Dko,7,6,B,,f,1,0,0,,1,0,0,0,0,0,60,10,1,1,2023-08-21T09:24:33,75,0
2023-08-26,3414,-10,-37,S10W37,139,138,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-21T17:59:31,76,0
2023-08-26,3415,-10,20,S10E20,82,79,200,Dao,5,5,BD,,f,0,0,0,,1,0,0,0,0,0,50,10,1,1,2023-08-22T19:19:32,77,0
2023-08-26,3416,-19,52,S19E52,50,44,30,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-08-25T16:48:41,78,0
2023-08-25,3404,-9,-85,S09W85,201,200,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-13T21:58:28,79,0
2023-08-25,3405,10,-75,N10W75,191,189,120,Cao,4,2,B,,f,4,0,0,,3,0,0,0,0,0,5,1,1,1,2023-08-14T18:42:41,80,0
2023-08-25,3411,14,-56,N14W56,172,171,50,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-17T15:49:07,81,0
2023-08-25,3412,31,-20,N31W20,135,136,60,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-18T17:47:24,82,0
2023-08-25,3413,11,16,N11E16,100,95,400,Dki,7,8,B,,f,0,0,0,,1,0,0,0,0,0,65,10,1,1,2023-08-21T09:24:33,83,0
