date,tencmfcst_1_day,tencmfcst_2_day,tencmfcst_3_day,record_Id,record_Id_0
,,,,0,
2023-08-18,150,152,155,1,0
2023-08-17,150,155,157,2,0
2023-08-16,160,160,160,3,0
2023-08-15,160,160,155,4,0
2023-08-14,155,150,150,5,0
2023-08-13,140,130,135,6,0
2023-08-12,145,140,130,7,0
2023-08-11,150,145,140,8,0
2023-08-10,150,150,145,9,0
2023-08-09,150,150,150,10,0
2023-08-08,155,150,150,11,0
2023-08-07,170,165,160,12,0
2023-08-06,168,166,164,13,0
2023-08-05,170,168,166,14,0
2023-08-04,165,162,164,15,0
2023-08-03,160,160,162,16,0
2023-08-02,170,165,160,17,0
2023-08-01,175,170,165,18,0
2023-07-31,175,175,170,19,0
2023-07-30,170,165,165,20,0
2023-07-29,175,170,165,21,0
2023-07-28,165,162,158,22,0
2023-07-27,165,162,158,23,0
2023-07-26,168,165,162,24,0
2023-07-25,168,162,162,25,0
2023-07-24,168,165,160,26,0
2023-07-23,165,165,160,27,0
2023-07-22,170,165,165,28,0
2023-07-21,170,170,165,29,0
2023-07-20,185,185,185,30,0
