date,tencmfcst_1_day,tencmfcst_2_day,tencmfcst_3_day,record_Id,record_Id_0
,,,,0,
2023-09-04,138,135,138,1,0
2023-09-03,130,135,130,2,0
2023-09-02,135,130,135,3,0
2023-09-01,135,135,130,4,0
2023-08-31,140,150,150,5,0
2023-08-30,145,145,150,6,0
2023-08-29,145,145,145,7,0
2023-08-28,144,144,142,8,0
2023-08-27,148,150,150,9,0
2023-08-26,135,140,140,10,0
2023-08-25,140,138,140,11,0
2023-08-24,145,145,150,12,0
2023-08-23,150,155,155,13,0
2023-08-22,150,155,160,14,0
2023-08-21,150,155,155,15,0
2023-08-20,153,153,155,16,0
2023-08-19,150,153,153,17,0
2023-08-18,150,152,155,18,0
2023-08-17,150,155,157,19,0
2023-08-16,160,160,160,20,0
2023-08-15,160,160,155,21,0
2023-08-14,155,150,150,22,0
2023-08-13,140,130,135,23,0
2023-08-12,145,140,130,24,0
2023-08-11,150,145,140,25,0
2023-08-10,150,150,145,26,0
2023-08-09,150,150,150,27,0
2023-08-08,155,150,150,28,0
2023-08-07,170,165,160,29,0
2023-08-06,168,166,164,30,0
